Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1214	0.1683521	0.1581310	0.0959724	0.0706406	0.0315087	0.0512360	0.3653179	0.1542836	1.6478335	0.2756341	0.0019012	0.0063975	0.0254181	0.0314165	-34999.031
1216	0.1683521	0.1581310	0.0993871	0.0706406	0.0315087	0.0512360	0.3653179	0.1417550	1.6478335	0.2756341	0.0009912	0.0024894	0.0332563	0.0200869	-34997.043
1218	0.1683521	0.1581310	0.1004574	0.0670100	0.0275217	0.0512360	0.3653179	0.1417550	1.6478335	0.2616887	0.0015871	0.0024894	0.0218778	0.0555921	-34998.619
1220	0.1683521	0.1644256	0.1004574	0.0670100	0.0312612	0.0512360	0.3653179	0.1417550	1.6079544	0.2616887	0.0032297	0.0051078	0.0372036	0.0207468	-34996.007
1222	0.1434963	0.1365332	0.0824306	0.0576435	0.0235611	0.0440744	0.4246778	0.1673718	1.8692284	0.3409771	0.0015036	0.0051078	0.0372036	0.0207468	-34999.348
1224	0.1434963	0.1365332	0.0849995	0.0576435	0.0235611	0.0515094	0.4246778	0.1673718	1.8210858	0.3409771	0.0009815	0.0016500	0.0163920	0.0043858	-34998.162
1226	0.1434963	0.1365332	0.0825152	0.0576435	0.0235611	0.0484589	0.4246778	0.1673718	1.8210858	0.3409771	0.0024040	0.0024651	0.0110240	0.0057907	-34995.374
1228	0.1659687	0.1564905	0.0954376	0.0666709	0.0272510	0.0585243	0.3671757	0.1447094	1.5745075	0.1557527	0.0024040	0.0024651	0.0132666	0.0064471	-35003.093
1230	0.1595206	0.1581974	0.0921720	0.0669421	0.0287023	0.0585243	0.3671757	0.1447094	1.5745075	0.2904664	0.0006285	0.0024651	0.0199429	0.0064471	-34996.499
1232	0.1629260	0.1581974	0.0960127	0.0669421	0.0312390	0.0585243	0.3671757	0.1447094	1.5745075	0.2904664	0.0006105	0.0024651	0.0298105	0.0126960	-34993.502
1234	0.1650437	0.1581974	0.0906800	0.0643997	0.0312390	0.0585243	0.3671757	0.1447094	1.5745075	0.2904664	0.0013938	0.0024651	0.0298105	0.0117302	-34999.927
1236	0.1908620	0.1860766	0.1048653	0.0744739	0.0332039	0.0645008	0.3175071	0.1251343	1.3615210	0.2904664	0.0030241	0.0024651	0.0298105	0.0381818	-34994.888
1238	0.1908620	0.1854897	0.1048653	0.0744739	0.0332039	0.0645008	0.3175071	0.1251343	1.3615210	0.2904664	0.0017483	0.0024651	0.0298105	0.0381818	-34996.524
1240	0.1687021	0.1632471	0.0990014	0.0658272	0.0293488	0.0570120	0.3592133	0.1415713	1.5403637	0.2904664	0.0017483	0.0024651	0.0203831	0.0988881	-34995.193
1242	0.1716125	0.1632471	0.0978655	0.0658272	0.0293488	0.0570120	0.3592133	0.1415713	1.5403637	0.2904664	0.0042174	0.0024651	0.0343827	0.0262666	-34992.809
1244	0.1418125	0.1348997	0.0808714	0.0543965	0.0227225	0.0471120	0.4346973	0.1713206	1.8640511	0.4396112	0.0058620	0.0011048	0.0343827	0.0155533	-34993.477
1246	0.1570750	0.1569215	0.0897248	0.0632765	0.0264318	0.0548028	0.3646078	0.1472782	1.7369718	0.2225117	0.0026551	0.0025156	0.0343827	0.0155533	-34994.847
1248	0.1625076	0.1569215	0.0933176	0.0658598	0.0252510	0.0548028	0.3646078	0.1472782	1.7369718	0.2225117	0.0033060	0.0025156	0.0343827	0.0155533	-34997.232
1250	0.1643221	0.1545237	0.0892983	0.0658598	0.0288158	0.0509543	0.3646078	0.1472782	1.7369718	0.2225117	0.0033060	0.0015351	0.0343827	0.0489125	-34997.197
1252	0.1567130	0.1487620	0.0915587	0.0658598	0.0321792	0.0562208	0.3646078	0.1472782	1.7369718	0.4440631	0.0033060	0.0046232	0.0436705	0.0489125	-34998.509
1254	0.1695557	0.1609531	0.0990619	0.0712570	0.0315021	0.0546246	0.3589050	0.1361229	1.6054083	0.1419553	0.0033060	0.0012088	0.0244546	0.0288046	-34998.646
1256	0.1745996	0.1609531	0.0990619	0.0678831	0.0325878	0.0541887	0.3589050	0.1361229	1.6054083	0.2703514	0.0026202	0.0042952	0.0502580	0.0175232	-34997.348
1258	0.1745996	0.1601247	0.0975317	0.0678831	0.0325878	0.0541887	0.3589050	0.1361229	1.6054083	0.2703514	0.0026202	0.0013844	0.0259677	0.0099781	-34998.558
